,region,cell_id,stim_id,firing_rate_mean,firing_rate_std,num_samples,bin_width
0,hippocampus,46,1,26.4,58.60680317752655,2000,0.01
1,hippocampus,46,2,38.6,70.08920207937928,2000,0.01
2,hippocampus,46,3,37.7,68.63720225042965,2000,0.01
3,hippocampus,46,4,25.45,58.30091764714556,2000,0.01
4,hippocampus,46,5,33.95,67.1166881253274,2000,0.01
5,hippocampus,46,6,27.55,59.141748141110895,2000,0.01
6,hippocampus,46,7,27.4,58.488891896133744,2000,0.01
7,hippocampus,46,8,31.25,65.19634024537496,2000,0.01
8,hippocampus,46,9,24.95,59.86893722810194,2000,0.01
9,hippocampus,46,10,35.2,65.06209755509833,2000,0.01
10,hippocampus,46,11,27.25,60.53321100699527,2000,0.01
11,hippocampus,46,12,33.55,65.35696800367431,2000,0.01
12,hippocampus,46,13,30.45,63.559557964985515,2000,0.01
13,hippocampus,46,14,22.7,55.9130855575713,2000,0.01
14,hippocampus,46,15,24.8,57.066525162717525,2000,0.01
15,hippocampus,46,16,16.444444444444443,46.52005875791224,1800,0.01
16,hippocampus,46,17,18.4,49.01674530872414,2000,0.01
17,hippocampus,267,1,24.6,47.391591886016535,2000,0.01
18,hippocampus,267,2,27.9,49.52591653068219,2000,0.01
19,hippocampus,267,3,29.75,49.10339165002518,2000,0.01
20,hippocampus,267,4,27.05,47.269596014284694,2000,0.01
21,hippocampus,267,5,30.6,49.848595178004864,2000,0.01
22,hippocampus,267,6,27.45,47.03832269438341,2000,0.01
23,hippocampus,267,7,32.2,49.74331310436914,2000,0.01
24,hippocampus,267,8,26.55,48.0754940334811,2000,0.01
25,hippocampus,267,9,24.85,45.809679800034516,2000,0.01
26,hippocampus,267,10,28.85,49.3345157797623,2000,0.01
27,hippocampus,267,11,27.65,49.210652750924616,2000,0.01
28,hippocampus,267,12,31.4,49.85260917264673,2000,0.01
29,hippocampus,267,13,27.9,47.35727352453728,2000,0.01
30,hippocampus,267,14,30.55,50.52696297021516,2000,0.01
31,hippocampus,267,15,26.7,47.94016196848713,2000,0.01
32,hippocampus,267,16,22.833333333333332,43.80175411037998,1800,0.01
33,hippocampus,267,17,31.6,50.91891955043911,2000,0.01
34,hippocampus,365,1,13.45,34.127405994595534,2000,0.01
35,hippocampus,365,2,14.05,34.902816552559905,2000,0.01
36,hippocampus,365,3,14.6,35.31945259861671,2000,0.01
37,hippocampus,365,4,14.7,35.41944760487264,2000,0.01
38,hippocampus,365,5,14.2,34.91374349367838,2000,0.01
39,hippocampus,365,6,12.9,33.528377175730064,2000,0.01
40,hippocampus,365,7,14.55,35.269242403684615,2000,0.01
41,hippocampus,365,8,12.7,33.30562463482943,2000,0.01
42,hippocampus,365,9,13.45,34.12740599459558,2000,0.01
43,hippocampus,365,10,12.65,33.24951526161795,2000,0.01
44,hippocampus,365,11,14.4,35.11775374812799,2000,0.01
45,hippocampus,365,12,13.45,34.27367564795476,2000,0.01
46,hippocampus,365,13,13.65,34.34045913447843,2000,0.01
47,hippocampus,365,14,14.6,35.31945259861671,2000,0.01
48,hippocampus,365,15,15.25,35.95947777736787,2000,0.01
49,hippocampus,365,16,14.333333333333334,35.209213509439635,1800,0.01
50,hippocampus,365,17,11.15,31.482901494990443,2000,0.01
51,hippocampus,490,1,24.2,45.00414076885787,2000,0.01
52,hippocampus,490,2,31.2,48.659468471572616,2000,0.01
53,hippocampus,490,3,28.65,47.595274503647325,2000,0.01
54,hippocampus,490,4,24.5,43.82590963320201,2000,0.01
55,hippocampus,490,5,28.35,47.24821368949748,2000,0.01
56,hippocampus,490,6,24.95,44.648563774477246,2000,0.01
57,hippocampus,490,7,25.25,45.3703287773704,2000,0.01
58,hippocampus,490,8,27.0,46.81982537370275,2000,0.01
59,hippocampus,490,9,25.25,45.59031408500262,2000,0.01
60,hippocampus,490,10,29.2,47.100628813395964,2000,0.01
61,hippocampus,490,11,25.5,45.17488666496677,2000,0.01
62,hippocampus,490,12,27.4,47.33244320854404,2000,0.01
63,hippocampus,490,13,26.75,46.157369415681494,2000,0.01
64,hippocampus,490,14,23.2,43.50524512258942,2000,0.01
65,hippocampus,490,15,24.05,44.13129598870649,2000,0.01
66,hippocampus,490,16,23.944444444444443,44.09547000492475,1800,0.01
67,hippocampus,490,17,21.45,42.61226821821799,2000,0.01
68,hippocampus,1347,1,9.75,29.67115920965039,2000,0.01
69,hippocampus,1347,2,8.9,28.481495708598242,2000,0.01
70,hippocampus,1347,3,9.45,29.25962342172898,2000,0.01
71,hippocampus,1347,4,11.1,31.895119522031298,2000,0.01
72,hippocampus,1347,5,10.3,30.56758395088331,2000,0.01
73,hippocampus,1347,6,11.65,32.55468328369746,2000,0.01
74,hippocampus,1347,7,10.25,30.50250319810944,2000,0.01
75,hippocampus,1347,8,10.55,30.889716529836367,2000,0.01
76,hippocampus,1347,9,9.4,29.190170143671768,2000,0.01
